Designator,Mid X,Mid Y,Layer,Rotation
Q1,78.250000,-68.750000,Top,180.000000
Q2,84.562500,-71.250000,Top,180.000000
Q3,78.250000,-73.750000,Top,180.000000
Q4,84.562500,-76.300000,Top,180.000000
Q5,78.250000,-79.000000,Top,180.000000
Q6,84.750000,-81.500000,Top,180.000000
Q7,78.250000,-84.000000,Top,180.000000
Q8,84.750000,-86.500000,Top,180.000000
Q9,78.250000,-89.000000,Top,180.000000
Q10,84.750000,-91.500000,Top,180.000000
Q11,78.250000,-94.250000,Top,180.000000
Q12,84.750000,-96.750000,Top,180.000000
Q13,78.250000,-99.250000,Top,180.000000
Q14,84.812500,-101.750000,Top,180.000000
Q15,78.250000,-104.250000,Top,180.000000
Q16,84.750000,-110.000000,Top,180.000000
R1,89.000000,-66.000000,Top,0.000000
R2,61.162500,-68.750000,Top,0.000000
R3,89.000000,-71.000000,Top,0.000000
R4,61.162500,-70.984375,Top,0.000000
R5,93.250000,-71.000000,Top,180.000000
R6,61.162500,-73.218750,Top,0.000000
R7,88.912500,-76.000000,Top,0.000000
R8,61.162500,-75.453125,Top,0.000000
R9,93.337500,-76.000000,Top,180.000000
R10,61.162500,-77.687500,Top,0.000000
R11,88.912500,-81.500000,Top,0.000000
R12,61.162500,-79.921875,Top,0.000000
R13,93.337500,-81.500000,Top,180.000000
R14,61.162500,-82.156250,Top,0.000000
R15,88.750000,-86.500000,Top,0.000000
R16,61.162500,-84.390625,Top,0.000000
R17,93.500000,-86.500000,Top,180.000000
R18,61.162500,-88.859375,Top,0.000000
R19,93.337500,-92.500000,Top,180.000000
R20,61.162500,-91.093750,Top,0.000000
R21,89.162500,-92.500000,Top,0.000000
R22,61.162500,-93.328125,Top,0.000000
R23,88.912500,-97.000000,Top,0.000000
R24,61.162500,-95.562500,Top,0.000000
R25,92.912500,-97.000000,Top,180.000000
R26,61.162500,-97.796875,Top,0.000000
R27,91.500000,-102.500000,Top,180.000000
R28,61.162500,-100.031250,Top,0.000000
R29,91.500000,-106.250000,Top,180.000000
R30,61.162500,-104.500000,Top,0.000000
R31,89.000000,-110.000000,Top,-90.000000
R32,61.250000,-110.000000,Top,0.000000
